%% File generated by CATS v.2.1Tue May  3 05:14:17 2016

%% The CATS webpage is http://robotics.stanford.edu/CATS

%% PARAMETER SETTINGS:
% Goods: 1000; Bids: 2000; Distribution: L3; Runs: 5; Seed: 1462275840
% Legacy distribution parameters:
% Number of goods chosen according to Constant distribution (const_goods = 2).
% Price chosen according to Fixed Random distribution (low_fixed = 0, high_fixed = 1000).


goods 1000
bids 2000
dummy 0

0	45853	93	939	#
1	754567	551	824	#
2	664338	971	685	#
3	648954	995	741	#
4	882443	91	285	#
5	322818	440	903	#
6	470915	899	561	#
7	563693	111	494	#
8	312639	578	661	#
9	540523	335	784	#
10	385221	575	774	#
11	781414	844	58	#
12	707614	365	53	#
13	795627	476	403	#
14	449535	224	537	#
15	399366	524	308	#
16	204129	571	663	#
17	821268	639	88	#
18	233913	612	102	#
19	4214	50	541	#
20	444514	69	504	#
21	763286	232	744	#
22	10148	765	532	#
23	670725	509	354	#
24	487910	795	605	#
25	480580	864	418	#
26	232143	441	694	#
27	692346	776	311	#
28	102174	476	839	#
29	501747	596	543	#
30	235311	263	197	#
31	73309	343	702	#
32	399155	856	153	#
33	475098	263	42	#
34	958609	25	433	#
35	611602	206	48	#
36	390840	596	458	#
37	483811	695	647	#
38	228170	195	503	#
39	729671	339	742	#
40	622748	89	782	#
41	813295	184	951	#
42	3544	736	652	#
43	147991	244	723	#
44	608265	386	702	#
45	72673	854	477	#
46	805347	300	48	#
47	113085	115	376	#
48	539692	608	335	#
49	514974	888	929	#
50	942610	715	832	#
51	487932	973	613	#
52	306788	940	57	#
53	858940	934	935	#
54	812223	397	386	#
55	375138	529	456	#
56	501521	200	597	#
57	386220	155	819	#
58	421262	19	20	#
59	592189	573	668	#
60	40593	330	49	#
61	927716	310	972	#
62	902254	881	502	#
63	758552	803	169	#
64	678740	231	783	#
65	27756	186	441	#
66	465163	641	588	#
67	725495	195	203	#
68	821688	304	33	#
69	909718	399	708	#
70	318253	345	617	#
71	804940	714	393	#
72	155234	939	265	#
73	296379	864	186	#
74	250369	833	773	#
75	691488	336	387	#
76	85936	824	484	#
77	956552	724	588	#
78	3625	45	872	#
79	64237	975	840	#
80	410362	959	166	#
81	459701	753	78	#
82	278947	890	831	#
83	779030	670	506	#
84	987120	555	288	#
85	785113	346	433	#
86	255290	872	596	#
87	978400	765	360	#
88	143885	469	566	#
89	523640	394	23	#
90	211329	755	258	#
91	751178	563	695	#
92	697343	696	813	#
93	659745	986	315	#
94	107623	262	167	#
95	546512	771	780	#
96	556135	308	210	#
97	670144	981	530	#
98	506138	390	571	#
99	2025	140	98	#
100	96188	698	357	#
101	623162	315	258	#
102	707980	40	92	#
103	281756	303	252	#
104	696798	51	91	#
105	419365	627	782	#
106	511359	160	477	#
107	269316	107	983	#
108	778903	628	186	#
109	448268	209	427	#
110	109447	222	988	#
111	842810	133	646	#
112	340413	947	655	#
113	26023	176	506	#
114	737679	845	984	#
115	22189	411	970	#
116	705481	719	668	#
