%% File generated by CATS v.2.1Mon May  2 15:53:26 2016

%% The CATS webpage is http://robotics.stanford.edu/CATS

%% PARAMETER SETTINGS:
% Goods: 500; Bids: 2000; Distribution: L3; Runs: 5; Seed: 1462237464
% Legacy distribution parameters:
% Number of goods chosen according to Constant distribution (const_goods = 3).
% Price chosen according to Fixed Random distribution (low_fixed = 0, high_fixed = 1000).


goods 500
bids 2000
dummy 0

0	115.416	458	94	398	#
1	139.332	346	419	119	#
2	919.086	342	107	100	#
3	234.322	308	5	108	#
4	409.607	67	120	144	#
5	196.774	368	497	313	#
6	884.017	123	66	425	#
7	118.929	391	273	420	#
8	300.29	360	38	172	#
9	754.964	201	473	218	#
10	221.974	364	155	342	#
11	319.03	130	71	379	#
12	773.865	445	157	263	#
13	823.345	92	209	456	#
14	580.087	365	214	175	#
15	555.122	426	250	224	#
16	324.832	467	365	276	#
17	413.191	145	4	375	#
18	401.269	279	305	274	#
19	603.485	37	234	448	#
20	95.5533	357	148	353	#
21	627.149	79	78	476	#
22	890.538	18	130	307	#
23	946.347	319	388	229	#
24	78.584	41	389	241	#
25	759.986	479	258	64	#
26	176.761	432	476	126	#
27	961.799	288	124	292	#
28	116.61	178	494	19	#
29	87.1761	411	67	20	#
30	579.282	241	184	222	#
31	215.828	139	272	420	#
32	933.476	453	279	344	#
33	894.352	364	226	377	#
34	96.7762	424	135	414	#
35	143.993	146	366	480	#
36	249.159	237	426	162	#
37	386.619	337	493	256	#
38	52.5037	279	350	29	#
39	771.371	488	97	174	#
40	819.986	197	326	144	#
41	565.106	132	168	13	#
42	900.526	25	137	172	#
43	981.66	416	154	140	#
44	395.988	87	477	176	#
45	68.1217	3	475	152	#
46	212.633	17	485	255	#
47	40.7404	55	266	465	#
48	363.368	421	474	329	#
49	768.719	198	155	336	#
50	383.587	188	125	176	#
51	941.1	445	450	63	#
52	701.006	291	87	152	#
53	820.079	355	404	490	#
54	808.601	365	383	117	#
55	383.521	296	32	498	#
56	129.884	38	27	221	#
57	90.1076	315	8	390	#
58	536.949	255	107	113	#
59	462.447	22	439	391	#
60	584.356	493	332	270	#
61	176.67	214	489	241	#
62	655.618	461	314	402	#
63	371.425	310	375	269	#
64	384.164	122	318	386	#
65	444.851	127	234	2	#
66	906.909	192	91	219	#
67	695.042	222	232	314	#
68	736.096	317	100	147	#
69	777.657	483	354	360	#
70	293.892	76	176	379	#
71	103.749	54	130	450	#
72	444.216	147	365	148	#
73	981.567	489	394	454	#
74	677.621	290	485	55	#
75	517.98	323	242	90	#
76	957.538	135	283	159	#
77	38.3344	140	326	21	#
78	620.013	106	319	163	#
79	57.9924	379	277	364	#
80	134.092	308	317	202	#
81	644.444	86	27	440	#
82	976.305	385	361	336	#
83	345.799	414	176	89	#
84	350.243	291	366	360	#
85	729.64	326	202	106	#
86	990.984	387	465	370	#
87	975.632	42	274	137	#
88	834.211	165	214	476	#
89	895.923	402	42	29	#
90	901.107	89	463	371	#
91	219.33	326	440	344	#
92	352.671	234	247	384	#
93	968.42	357	121	184	#
94	300.91	291	132	357	#
95	283.047	131	154	432	#
96	629.343	434	52	491	#
97	99.5454	376	146	449	#
98	771.616	439	267	311	#
99	681.709	189	414	95	#
100	124.494	175	315	171	#
101	117.847	336	123	411	#
102	530.347	390	303	3	#
103	547.607	258	479	68	#
104	54.239	203	468	58	#
105	62.9497	233	132	221	#
106	102.045	113	118	488	#
107	939.539	332	247	330	#
108	778.556	306	126	47	#
109	98.0014	296	430	207	#
110	268.308	13	113	196	#
111	468.912	374	493	471	#
112	936.926	393	404	390	#
113	241.028	29	16	27	#
114	797.056	53	358	327	#
115	809.204	410	318	401	#
116	960.493	63	313	275	#
117	606.602	320	343	12	#
118	706.916	219	460	45	#
119	905.192	148	123	455	#
120	839.658	230	477	397	#
121	99.2368	483	289	264	#
122	70.2513	462	152	135	#
123	948.354	104	360	320	#
124	276.012	278	246	344	#
125	749.899	477	381	314	#
126	608.725	148	155	142	#
127	434.857	315	458	89	#
128	597.516	84	395	494	#
129	137.067	180	251	143	#
130	585.316	208	336	473	#
131	872.528	258	5	370	#
132	65.8231	83	190	300	#
133	583.716	307	409	349	#
134	746.688	104	281	406	#
135	953.214	444	153	245	#
136	454.671	458	151	139	#
137	71.6643	88	415	270	#
138	319.818	499	478	364	#
139	256.949	196	452	121	#
140	28.2268	167	414	55	#
141	64.6562	470	238	445	#
142	316.79	419	452	37	#
